date	gravid_female	total	gravid_cal	total_cal
11/12/08	0.11	0.26	0.26	1
04/02/09	0.05	0.11	0.47	7.05
12/03/09	0	0.13	4.67	12
25/03/09	0	0	3.31	10.23
08/04/09	0.07	0.3	1.33	2.19
24/04/09	0.07	0.31	0.93	2
13/05/09	0.13	0.38	0.75	1.19
20/05/09	0.19	0.56	3.44	9.93
				
11/12/08	0	0	0.06	0.17
04/02/09	0	0.07	0	0.07
12/03/09	0	0	0.04	0.07
25/03/09	0	0	0	0.07
08/04/09	0	0	0.03	0.1
24/04/09	0	0	0	0
13/05/09	0	0	0.1	0.2
20/05/09	0	0	0.97	1.93
10/06/09	0	0.13	0.43	1.37
23/07/09	0	0.05	0.04	0.19
12/08/09	0.02	0.02	0.07	0.15
09/09/09	0.05	0.05	0.1	0.24
07/10/09	0	0.05	0.29	0.45
10/11/09	0.05	0.35	1.19	2.8
				
11/12/08	0	0	0.09	0.34
03/02/09	0	0.08	0.04	0.28
12/03/09	0.05	0.12	1.12	4.08
26/03/09	0.03	0.11	1.39	3.16
08/04/09	0.07	0.34	1.52	3.25
23/04/09	0.08	0.49	1.07	2.28
12/05/09	0.27	1.01	0.7	1.66
20/05/09	0.46	1.13	1.19	2.99
11/06/09	0.71	1.12	1.21	4.18
				
11/12/08	0	0.09	1.62	3.95
03/02/09	0	0.02	0.06	0.24
12/03/09	0	0	0.05	0.49
26/03/09	0	0.04	0.11	0.56
08/04/09	0	0.02	0.96	2.71
23/04/09	0	0.22	2.04	3.8
12/05/09	0	0.11	1.32	2.35
20/05/09	0.02	0.11	2.34	4
11/06/09	0.06	0.13	0.8	2.48
23/07/09	0.06	0.18	1.06	2.23
13/08/09	0	0	0.08	0.18
10/09/09	0.12	0.18	0.33	0.62
08/10/09	0.02	0.06	0.16	0.24
10/11/09	0.04	0.35	0.1	0.29
				
10/12/08	0	0.09	2.52	7.18
03/02/09	0.02	0.02	0	0
12/03/09	0.02	0.02	0.07	0.14
26/03/09	0	0	0.12	0.27
08/04/09	0	0.02	0.02	0.07
23/04/09	0	0	0	0.04
12/05/09	0	0	0.23	0.33
19/05/09	0	0.05	0.95	1.71
11/06/09	0	0.05	0.28	0.55
23/07/09	0.1	0.27	0.9	2.71
13/08/09	0.08	0.27	0.34	0.54
10/09/09	0.32	0.77	0.35	0.58
08/10/09	0.45	1.76	0.33	0.58
10/11/09	1.29	2.62	0.11	0.27
				
12/02/09	0	0	0	0
06/03/09	0	1.29	0	0
24/03/09	0	0.88	0.03	0.07
03/04/09	0	2.27	0.1	0.22
16/04/09	0.02	1.95	0.16	0.27
12/05/09	0	0.27	0.02	0.05
19/05/09	0	0.2	0	0
16/06/09	0.03	0.25	0.02	0.02
14/07/09	0.56	1.92	0.27	0.41
24/08/09	3.39	16.77	0	0.02
09/09/09	1.39	8.5	0	0
07/10/09	3.78	14.43	0.02	0.02
30/11/09	9.93	21.23	0	0.07
				
21/04/09	0.16	4.62	0.21	0.21
11/05/09	0.32	3.59	0.55	1.63
21/05/09	0.34	7	1.5	2.6
10/06/09	0.88	4.83	1.7	3.08
22/07/09	2.73	12.23	0	0.04
20/08/09	3.87	11.21	0	0.02
18/09/09	2.54	5.13	0	0
				
13/01/09	0.08	3.28	0.02	0.02
11/02/09	0.36	2.88	0.05	0.06
06/03/09	0.07	1.77	0.09	0.1
24/03/09	0	1.87	0.02	0.04
03/04/09	0	1.34	0.12	0.15
21/04/09	0	2.31	0	0.13
11/05/09	0.03	1.7	0.08	0.1
21/05/09	0.1	5.86	0.32	0.5
				
10/06/09	0.1	2.08	0.02	0.02
23/07/09	1.78	17.51	0	0.14
25/08/09	5.95	27.98	0.07	0.25
				
17/12/08	3.49	11.36	0	0.09
11/02/09	0.29	13.34	0.02	0.09
10/03/09	1.21	21.98	0.1	0.17
31/03/09	0.99	7.58	0.05	0.13
09/04/09	0.96	5.91	0.06	0.1
30/04/09	0.78	13.82	0	0
15/05/09	0.71	20.19	0.52	1.09
22/05/09	0.7	19.28	0.49	0.97
24/06/09	4.27	7.8	0	0
				
28/10/09	15.43	67	0.64	0.79
20/11/09	11.06	50.34	0	0.08
				
13/01/09	2.19	10.28	0	0
12/02/09	0.87	17.78	0	0.05
12/03/09	2.01	29.51	0	0
31/03/09	3.13	16.56	0.04	0.06
09/04/09	1.65	6.44	0	0
30/04/09	1.26	5.48	0	0
15/05/09	1.34	24.11	0.14	0.28
22/05/09	1.24	17.07	0.11	0.14
				
11/09/09	1.98	4.84	0	0
09/10/09	0.87	10.79	0	0
20/11/09	4.6	27.91	0	0
				
03/12/08	1.22	3.52	0	0.05
				
21/01/09	0.03	4.35	0	0
12/02/09	0.84	24.78	0.13	0.4
11/03/09	4.5	16.45	0.36	0.56
31/03/09	0.37	1.58	0.1	0.11
17/04/09	0.4	8.44	0.04	0.17
29/04/09	0.24	5.44	0	0.22
19/05/09	1.49	23.4	0.96	1.84
26/05/09	2.6	20.63	0.16	0.55
23/06/09	13.34	35.05	0.77	1.45
17/07/09	10.47	38.37	0.02	0.06
28/08/09	10.97	19.06	0	0
11/09/09	6.39	11.96	0	0
				
				
03/12/08	0	3.02	0	0.06
07/01/09	0.11	0.41	0.02	0.03
21/01/09	0	0.03	0	0.04
11/02/09	0	0.14	0.02	0.02
03/03/09	0	0.27	0.04	0.05
20/03/09	0	0.33	0.07	0.12
03/04/09	0	0.19	0.15	0.15
16/04/09	0	0.48	0.1	0.13
12/05/09	0.02	0.83	0.22	0.4
26/05/09	0.02	0.17	0.08	0.17
12/06/09	0	0.1	0	0.03
08/07/09	0.03	0.38	0.16	0.17
19/08/09	0.79	4.36	0	0.2
23/09/09	2.6	5.78	0	0.2
				
23/03/09	0.11	0.69	0.13	0.13
08/04/09	0.17	8.55	0.04	0.05
24/04/09	0.28	7.8	0	0.09
14/05/09	2.01	6.85	0.24	0.66
28/05/09	1.46	6.78	0.06	0.3
25/06/09	0.67	1.42	0.07	0.23
02/07/09	0.87	1.52	0.05	0.15
07/08/09	2.46	10.36	0.25	0.32
17/09/09	6.04	27.66	0	0
08/10/09	6.17	11.39	0	0.02
17/11/09	3.3	10.23	0	0.02
				
08/01/09	0.07	1.89	0.05	0.07
12/02/09	0.65	1.75	0.1	0.1
06/03/09	0.92	3.33	0.21	0.37
				
14/05/09	0	0.24	0	0.02
28/05/09	0	0.01	0	0.01
25/06/09	0	0.04	0	0.04
02/07/09	0	0.06	0	0.03
06/08/09	0	0.15	0.05	0.06
17/09/09	0.22	0.59	0	0
08/10/09	1.84	16.51	0	0
16/11/09	0.45	1.82	0	0
				
08/01/09	1.6	22.28	0.07	0.1
12/02/09	2.49	7.47	0.1	0.16
10/03/09	0.25	0.55	0	0
24/03/09	0.46	5.08	0.02	0.09
09/04/09	0.17	6.86	0	0
23/04/09	0.64	3.91	0	0
15/05/09	0.58	2.85	0.06	0.17
26/05/09	0.12	1.49	0.1	0.13
19/06/09	1.3	2.57	0.07	0.23
16/07/09	0.32	7.65	0.16	0.55
07/08/09	12.53	25.97	1.03	1.77
				
19/10/09	3.09	8.98	0	0
16/11/09	1.69	22.35	0.06	0.07
				
11/12/08	2.96	12.87	0.2	0.24
				
20/04/09	0	1.57	0.02	0.06
14/05/09	0	1.06	0	0.04
26/05/09	0	0.66	0.02	0.06
10/06/09	0	0.26	0	0.02
07/07/09	0	0.18	0.11	0.16
21/08/09	0.37	1.47	0.84	1.45
29/09/09	0.35	3.76	0.44	0.75
16/10/09	0.59	3.53	0.14	0.27
				
03/12/08	0.08	0.44	0	0.04
13/02/09	0.33	2.35	0.19	0.28
10/03/09	0.32	1.71	0.22	0.27
30/03/09	0.42	5.52	0.59	0.87
08/04/09	0.31	6.36	1.08	1.43
20/04/09	0.25	4.69	0.6	0.75
14/05/09	1.81	6	0	0
26/05/09	0.79	2.27	0.09	0.3
10/06/09	0.35	1.47	0.42	0.82
07/07/09	0.61	1.47	1.41	3.2
21/08/09	4.17	11.36	0	0.07
29/09/09	0.17	0.7	0	0
				
30/11/09	1.18	4.35	0	0.02
				
11/12/08	0.32	0.75	0	0.02
04/02/09	0.19	16.52	0.03	0.03
13/03/09	2.93	4.52	0.11	0.11
				
16/10/09	0.82	2.82	0.09	0.12
30/11/09	0.34	0.83	0	0.03
				
